Q7TQD2;O94811
Q8BK08;P17152
Q08189;Q08188
Q8K2W9;Q9H972
Q921G6;O75427
Q3TMW1;Q96A19
Q99PV0;Q6P2Q9
O70374;O43439
P84084;P84085
Q9D1E4;A8MQ03
Q9EQP6;P36575
P52850;P52849
Q9D6E4;Q8N6N2
P17751;P60174
P35585;Q9BXS5
Q8BHB4;Q9UNX4
Q6P9J5;Q5T7N3
Q3UMB5;Q8TEV9
P63157;Q9BZE3
Q9CQN1;Q12931
Q8BSS9;O75334
A2ARP9;Q96P56
Q8BLY1;Q9H4F8
Q3TWL2;Q86T03
Q8VD37;Q9BQI5
P97762;Q8TA86
O88324;Q01151
Q6P3Z3;Q8WY91
O88396;Q8TAA5
Q9D7A8;Q9NVT9
Q8C669;Q96FA3
Q99MU1;Q86W33
Q9D8C8;Q8TAP8
Q7TQI0;Q9BSN7
Q9WTT4;O95670
Q921X6;Q9H1D9
Q9EPQ2;Q96KN7
Q8BJQ2;O94782
Q8C636;Q9BXB7
Q91WD9;O76038
Q62406;P51617
Q8BYH3;Q9NUP7
Q9D7N9;Q9HDC9
P47941;P46109
Q80VC6;Q9NX07
Q3V016;Q8NE63
Q8VDM1;Q8N5A5
Q9D8U7;Q8N5C7
Q6ZWZ2;Q712K3
Q9JKD9;Q9Y2Y4
O70514;Q14512
Q8CFD5;Q13216
Q91ZH7;Q8WU67
Q9DA08;Q96ES7
Q8CB19;Q8N3S3
Q8BR07;Q96G01
Q8BX13;Q7Z6J8
Q922H2;Q15120
Q8BM14;Q5VXJ0
Q8C570;P78406
Q8K4I7;Q7RTY3
Q9ER65;Q9H4D0
Q32NY4;Q8NE01
Q6NXY1;Q96DN5
Q9JMD1;Q9UHJ3
Q9CR41;P84101
Q9R1V7;O75077
Q922Q8;Q96AG4
O35594;Q8WYA0
Q3TQF0;Q5XUX0
Q9DBF1;P49419
Q3UA16;Q9HBM1
Q6P5E4;Q9NYU2
O35253;O15105
Q80TE4;Q9P2F8
Q9CY21;O43709
Q99N28;Q8N126
P97393;Q13017
O35317;P40426
P60202;P60201
Q99KC8;O00534
P82347;Q92629
Q99MR1;O75420
Q8R3F5;Q8IVS2
P22893;P26651
Q2TB02;Q8NI38
Q3USJ8;O94868
Q9QUK0;Q92772
P97808;Q96DB9
Q8BK03;Q7L4E1
Q9CZU3;P42285
Q3UZY0;A8K8P3
Q922B1;Q9BQ69
P52800;P52799
Q8K0T2;Q8TCX1
Q9CR73;Q9NPJ4
Q62523;Q15942
Q8K3D6;Q6ICL7
Q60855;Q13546
A2AGH6;Q93074
O35344;O00505
Q9CQC5;Q9UKI2
O08900;Q9UKT9
Q8BW11;Q8IYP2
O88520;Q9UQ13
Q8BW66;Q6ZT89
Q9R045;Q9UKU9
Q6RFH4;Q8N6F7
Q8BW74;Q16534
Q9D0C4;Q32P41
A2AI08;Q4KMQ1
Q80VJ8;Q8N6L0
Q9DAA4;A4D1T9
Q9QUH0;P35754
Q8R5K4;Q9H6R4
Q8K203;Q8TAT5
Q91WN4;O15229
Q8CIB5;Q96AC1
Q9D2Q2;Q8IYL2
Q6PCL9;Q9BWT3
Q8R2R5;Q9BV99
O35622;O95750
Q9CR50;Q96PM5
Q3USY0;Q08AI6
Q641K5;O60285
Q64339;P05161
Q9R097;O43278
Q8BZ81;Q86VH5
Q8CIA5;Q969S0
P47758;Q9Y5M8
Q7TPD6;Q9HCJ3
P20067;P41134
Q76N33;Q96FJ0
Q8VBV4;Q969H0
Q923U0;O75674
Q8CHW1;Q9NVV9
Q9CQV7;Q96DA6
Q8R3N2;Q8IWD5
P28660;Q9Y2A7
Q8BJ83;Q9BRN9
Q91X84;Q6UUV7
Q3U214;O60307
P28738;O60282
O09047;Q16581
Q501P1;Q53RD9
P34971;P08588
Q9Z1R3;O95445
Q9D0Z3;Q6P2H8
Q8C8K3;Q8WXF0
Q8BN58;Q9P2N2
Q6P3B9;Q8N0V3
Q02576;Q02575
Q9EPK5;Q9GZV5
Q99N43;Q96MU8
Q8VIG1;Q13127
Q9D967;Q86V88
Q9EQC4;Q9GZR5
Q9R092;O14756
Q8BI06;Q8WUJ3
Q9JMF7;Q86YN1
Q7TPM1;Q5JSZ5
Q7TN98;Q17RY0
Q7SIG6;O43150
Q9D0N8;Q6PEY1
Q61585;P27469
P69566;Q96S59
Q811C2;Q96DT6
Q6PFY8;Q9H8W5
Q99P31;Q9NZL4
Q64205;O60479
Q91YP1;Q7Z5W3
Q99K67;Q9UDR5
Q8R1K4;Q8IUZ5
Q9D7S1;Q969K7
P47809;P45985
Q9JHW4;P57772
P61021;P61020
Q91W63;Q9NWW6
P22366;Q99836
Q7TT00;Q8NEM7
Q8BMB0;Q7Z589
P42932;P50990
Q07440;Q16548
Q8K3V1;Q8NEY3
Q8R3P7;Q96AJ1
Q9ERZ3;P20309
Q8VE96;Q8N357
O70422;Q92759
P62852;P62851
Q99LX5;Q9BU76
Q80WQ8;Q6P0N0
Q9D787;Q13356
Q8BXA6;P56750
Q3TPJ7;Q504T8
Q62445;Q02446
Q9D6Y7;Q9UJ68
Q8VD58;P34910
Q6UJB9;Q6UE05
Q640N3;Q7Z6I6
P70182;Q99755
P01027;P01024
Q9CZR3;Q969M1
Q9WUM5;P53597
Q7TSJ6;Q9NRM7
Q8CBD1;P48552
Q8K3Z0;Q9HC29
Q03963;P19525
Q64687;Q92185
Q8VCD3;Q9HAT1
Q7TNU6;P15622
