Human	Mouse
Q8WZ42	A2ASS6
Q8NF91	Q6ZWR6
Q9UPN3	Q9QXZ0
Q96RW7	D3YXG0
Q8WXG9	Q8VHN7
P20929	E9Q1W3
Q5T4S7	A2AN08
O14686	Q6PDK2
Q2LD37	A2AAE1
Q92736	E9Q401
P21817	E9PZQ0
Q07954	Q91ZX7
Q15751	E9PZP8
Q15413	A2AGL3
Q8WXH0	Q6ZWQ0
O95714	Q4U2R1
Q9NZR2	Q9JI18
Q9NU22	A2ANY6
Q9NR09	O88738
Q6V0I7	Q2PZL6
Q14204	Q9JHU4
O75592	Q7TPH6
Q5VST9	A2AAJ9
Q03001	Q91ZU6
Q9NZJ4	Q9JLC8
Q8NEZ4	Q8BRH4
Q8TDW7	Q8BNA6
A2VEC9	Q8CG65
Q15149	Q9QXS1
Q96JB1	Q91XQ0
Q7Z6Z7	Q7TMY8
Q8NDA2	A2AJ76
Q8TE73	Q8VHE6
Q14517	F2Z4A3
Q9UFH2	Q69Z23
Q5THJ4	B1ART2
Q9P225	P0C6F1
Q4G0P3	Q80W93
Q8NCM8	Q45VK7
P98164	A2ARV4
Q09666	E9Q616
Q9Y6V0	Q9QYX7
Q9NYC9	B1AR51
Q8IVF4	D3YYQ8
O75445	Q2QI47
Q96DT5	E9Q7N9
Q9Y4D8	E9Q2E4
Q7Z407	Q80T79
Q9P2D7	E9Q8T7
Q9C0G6	E9Q0B6
Q8WXX0	L7N1Y0
Q8WXX0	E9Q0T8
Q9NYQ8	Q5F226
Q86WI1	Q80ZA4
P58107	Q8R0W0
Q03164	P55200
Q86XX4	Q80T14
Q8TD57	Q8BW94
Q7Z7G8	Q80TY5
Q96PZ7	Q923L3
Q96Q15	Q8BKX6
Q70CQ2	Q6ZQ93
P78509	Q60841
Q15911	Q61329
Q9UPA5	O88737
Q7Z408	M0QWA1
Q5CZC0	A2ARZ3
Q8IZQ1	Q6VNB8
Q63HN8	E9Q555
P98161	O08852
P11532	P11531
P78527	P97313
Q86UP3	Q9JJN2
Q99698	P97412
Q86UQ4	Q5SSE9
Q709C8	Q8BX70
Q4LDE5	A2AVA0
Q5T011	A2A9C3
Q96M86	D3Z2X2
Q9H251	Q99PF4
Q8N2C7	Q8BLN6
P35556	Q61555
Q01484	Q8C8R3
P04114	E9Q414
P35555	Q61554
O15230	Q61001
Q9NYQ7	Q91ZI0
Q96JQ0	E9PVD3
O75962	Q0KL02
P46939	E9Q6R7
P08F94	E9PZ36
Q15772	Q62407
Q9UKN7	Q9QZZ4
Q5TBA9	E9Q8I9
O60229	A2CG49
Q99715	Q60847
Q9P2D1	A2AJK6
P24043	Q60675
Q96T58	Q62504
Q8TDJ6	Q8BPN8
Q8NFP9	Q9EPN1
O94915	F8VQ05
Q9HCU4	Q9R0M0
Q5SZK8	Q6NVD0
P42858	P42859
Q9NT68	Q9WTS5
Q6N022	Q3UHK6
P21359	Q04690
O60494	Q9JLB4
Q6ZR08	Q3V0Q1
Q9NR48	Q99MY8
Q9UKZ4	Q9WTS4
Q9Y485	Q6PNC0
Q14315	Q8VHX6
O95071	Q80TP3
Q9P273	Q9WTS6
Q14643	P11881
Q7Z7M0	P60882
O60673	Q61493
Q6KC79	Q6KCD5
P15924	E9Q557
Q96RL7	Q5H8C4
Q16787	Q61789
O43149	Q5SSH7
Q3L8U1	Q8BYH8
P21333	Q8BTM8
P12111	E9PWQ3
Q14571	Q9Z329
Q02388	Q63870
Q6ZS81	E9Q2M9
Q13315	Q62388
Q93008	P70398
Q9ULT8	Q69ZR2
P46531	Q01705
P04275	Q8CIZ8
Q9UPU5	B1AY13
O75369	Q80X90
Q14573	P70227
P25054	Q61315
P50851	Q9ESE1
Q9UMN6	O08550
P42345	Q9JLN9
Q9NYQ6	O35161
Q9HCK8	Q09XV5
Q9H5I5	Q8CD54
Q96L91	Q8CHI8
Q9P2D8	Q0KK59
Q6ZRI0	O55225
Q04721	O35516
P25391	P19137
Q9Y4A5	Q80YV3
O75179	Q99NH0
Q99996	Q70FJ1
Q12830	A2A654
Q6ZS30	E9PV03
Q9Y520	Q3TLH4
Q92616	E9PVA8
Q8TD26	A3KFM7
Q6P2Q9	Q99PV0
Q6ZNJ1	Q6ZQA0
Q96JM2	B1AWL2
Q8IWI9	A2AWL7
Q9H254	E9PX29
Q9Y490	P26039
Q13535	Q9JKK8
Q13813	P16546
O15050	Q8BV79
Q5VT06	E9Q309
Q92793	P45481
O75691	Q5XG71
A5YKK6	Q6ZQ08
Q9P2P6	Q80TF6
Q86UK0	E9Q876
O15417	Q80WC3
Q09472	B2RWS6
Q8IWZ3	E9PUR0
Q9UM47	Q61982
P22105	O35452
Q01082	Q62261
Q13085	Q5SWU9
Q9NY15	Q8R4Y4
A4UGR9	Q4U4S6
Q14789	E9PVZ8
Q3ZCN5	F7A4A7
O14497	A2BH40
O43497	Q5SUF7
O15020	Q68FG2
B2RTY4	Q8C170
O75376	Q60974
P46821	P14873
Q9Y4G6	Q71LX4
O75443	O08523
Q9C0A1	Q2MHN3
Q9UQ35	Q8BTI8
Q5S007	Q5S006
O00763	E9Q4Z2
Q8WWQ8	Q8R4U0
P78559	Q9QYR6
Q8IVL1	E9Q842
Q96AY4	Q80XJ3
Q9BZC7	P41234
O60281	Q9Z2U2
O75165	G3X922
Q96L73	O88491
Q92673	O88307
P98160	Q05793
O95477	P41233
Q8IVL0	Q80TN7
Q13402	P97479
P31629	Q3UHF7
Q15878	Q61290
Q9HCE0	Q80TA9
Q9BYW2	E9Q5F9
Q96RV3	Q9QYC1
O00555	P97445
Q9Y618	Q9WU42
Q00975	O55017
P11717	Q07113
Q5JWR5	Q8BL99
Q14667	Q5SYL3
P12270	F6ZDS4
P27708	B2RQC6
Q93074	A2AGH6
P01266	O08710
O75643	Q6P4T2
Q07864	Q9WVF7
Q01668	Q99246
Q9UHV7	Q5SWW4
Q6UB99	E9Q4F8
Q71F56	Q6JPI3
Q9P281	Q3UHR0
